"id","house_id","price","area","rooms","street","website","location"
1,3002472265,5190,102,4.5,"Spitalgasse 2","https://www.homegate.ch/rent/3002472265","8001 Zurich"
2,3002552074,5480,112,2.5,"Spitalgasse 2","https://www.homegate.ch/rent/3002552074","8001 Zurich"
3,3002567931,3910,75,3.0,"Engelstrasse 62","https://www.homegate.ch/rent/3002567931","8004 Zurich"
4,3002184266,3950,70,2.5,"Ankerstrasse","https://www.homegate.ch/rent/3002184266","8004 Zurich"
5,3002336810,1450,26,1.0,"Langstrasse 213","https://www.homegate.ch/rent/3002336810","8005 Zurich"
6,3002504867,2300,60,2.0,"Limmatstrasse 206","https://www.homegate.ch/rent/3002504867","8005 Zurich"
7,3002436989,1850,60,2.0,"Seestrasse 293","https://www.homegate.ch/rent/3002436989","8038 Zurich"
8,3002542306,2651,89,3.5,"Neunbrunnenstrasse 52","https://www.homegate.ch/rent/3002542306","8050 Zurich"
9,3002322951,8750,218,5.0,"Pfingstweidstrasse 98","https://www.homegate.ch/rent/3002322951","8005 Zurich"
10,3002591354,2450,55,3.0,"Spitalgasse","https://www.homegate.ch/rent/3002591354","8001 Zurich"
11,3002222915,15900,130,3.5,"Schutzengasse 14","https://www.homegate.ch/rent/3002222915","8001 Zurich"
12,3002571968,1490,70,3.0,"8002 Zurich","https://www.homegate.ch/rent/3002571968","8002 Zurich"
13,3002447618,1450,59,2.0,"Militarstrasse 24","https://www.homegate.ch/rent/3002447618","8004 Zurich"
14,3002576773,7400,162,5.5,"Stauffacherstrasse 33","https://www.homegate.ch/rent/3002576773","8004 Zurich"
15,3002576802,3950,123,3.5,"Forrlibuckstrasse 229","https://www.homegate.ch/rent/3002576802","8005 Zurich"
16,3002580224,2300,50,2.5,"Stampfenbachstrasse 102","https://www.homegate.ch/rent/3002580224","8006 Zurich"
17,3002571745,2680,74,2.0,"Goldauerstrasse","https://www.homegate.ch/rent/3002571745","8006 Zurich"
18,3002535267,2800,58,2.0,"Kreis 6","https://www.homegate.ch/rent/3002535267","8006 Zurich"
19,3002528601,3270,75,3.0,"Weinbergstrasse 68","https://www.homegate.ch/rent/3002528601","8006 Zurich"
20,3002557682,1570,25,1.0,"Seefeldstrasse 255B","https://www.homegate.ch/rent/3002557682","8008 Zurich"
21,3002591665,1490,28,1.0,"Kapfsteig 32","https://www.homegate.ch/rent/3002591665","8032 Zurich"
22,3002537510,3845,120,3.5,"Sempacherstrasse","https://www.homegate.ch/rent/3002537510","8032 Zurich"
23,3002586303,3968,122,5.5,"8032 Zurich","https://www.homegate.ch/rent/3002586303","8032 Zurich"
24,3002522915,2480,60,2.5,"Albisstrasse 114","https://www.homegate.ch/rent/3002522915","8038 Zurich"
25,3002573133,2450,80,3.5,"Zelglistrasse 20","https://www.homegate.ch/rent/3002573133","8046 Zurich"
26,3002577705,3295,68,2.5,"Bachwiesenstrasse 122-124","https://www.homegate.ch/rent/3002577705","8047 Zurich"
27,3002557962,1970,66,2.5,"Hatzlergasse 28","https://www.homegate.ch/rent/3002557962","8048 Zurich"
28,3002522429,2400,69,3.5,"Meientalstrasse 61","https://www.homegate.ch/rent/3002522429","8048 Zurich"
29,3002583122,2770,69,2.5,"Feldblumenweg 14","https://www.homegate.ch/rent/3002583122","8048 Zurich"
30,3002572817,3950,105,4.5,"Naglerwiesenstrasse","https://www.homegate.ch/rent/3002572817","8049 Zurich"
31,3002589745,1870,65,2.5,"8050 Zurich","https://www.homegate.ch/rent/3002589745","8050 Zurich"
32,3002588373,3500,87,3.5,"Regensbergstrasse 229","https://www.homegate.ch/rent/3002588373","8050 Zurich"
33,3002455028,3650,120,4.5,"Oberwiesenstrasse 68","https://www.homegate.ch/rent/3002455028","8050 Zurich"
34,3002379732,7500,170,3.5,"Leutschenbachstrasse 30","https://www.homegate.ch/rent/3002379732","8050 Zurich"
35,3002570243,3700,116,4.5,"Im Glockenacker 39","https://www.homegate.ch/rent/3002570243","8053 Zurich"
36,3002592223,2050,55,2.5,"Schaffhauserstrasse 276","https://www.homegate.ch/rent/3002592223","8057 Zurich"
37,3002592037,2840,95,3.0,"Oerlikonerstrasse 38","https://www.homegate.ch/rent/3002592037","8057 Zurich"
38,3002462085,4980,125,4.0,"Oerlikonerstrasse 55","https://www.homegate.ch/rent/3002462085","8057 Zurich"
39,3002571602,2660,63,3.0,"Militarstrasse 89","https://www.homegate.ch/rent/3002571602","8004 Zurich"
40,3002579447,4475,102,3.5,"Badenerstr. 157","https://www.homegate.ch/rent/3002579447","8004 Zurich"
41,3002528575,4950,154,4.5,"Militarstrasse 91","https://www.homegate.ch/rent/3002528575","8004 Zurich"
42,3002538579,6950,209,5.5,"Rainstr. 26","https://www.homegate.ch/rent/3002538579","8038 Zurich"
43,3002502661,9900,135,3.5,"Kraftstrasse 37","https://www.homegate.ch/rent/3002502661","8044 Zurich"
44,3002470854,3040,86,4.5,"Stampfenbrunnenstrasse 40","https://www.homegate.ch/rent/3002470854","8048 Zurich"
45,3002576286,3500,100,3.5,"Michelstr. 21","https://www.homegate.ch/rent/3002576286","8049 Zurich"
46,3002555033,1325,32,1.0,"nahe Sternen Oerlikon","https://www.homegate.ch/rent/3002555033","8050 Zurich"
47,3002585718,2500,109,4.5,"Neunbrunnenstr. 151","https://www.homegate.ch/rent/3002585718","8050 Zurich"
48,3002478233,5660,127,3.5,"Neunbrunnenstr. 38","https://www.homegate.ch/rent/3002478233","8050 Zurich"
49,3002555028,2228,62,3.0,"Birchstrasse","https://www.homegate.ch/rent/3002555028","8057 Zurich"
50,3002572425,1884,60,1.5,"Militar/Langstrasse","https://www.homegate.ch/rent/3002572425","8004 Zurich"
51,3002197688,15000,240,4.0,"Zurich","https://www.homegate.ch/rent/3002197688","8001 Zurich"
52,3002571958,2860,69,3.0,"8001 Zurich","https://www.homegate.ch/rent/3002571958","8001 Zurich"
53,3002023120,2980,59,2.5,"Waldmannstrasse 12 a","https://www.homegate.ch/rent/3002023120","8001 Zurich"
54,3002571659,3350,75,3.5,"Kuttelgasse 6","https://www.homegate.ch/rent/3002571659","8001 Zurich"
55,3002475044,3485,65,1.5,"8001 Zurich","https://www.homegate.ch/rent/3002475044","8001 Zurich"
56,3000298918,3490,55,2.0,"Untere Zaune 21","https://www.homegate.ch/rent/3000298918","8001 Zurich"
57,3002289931,3550,88,3.0,"Kirchgasse 33","https://www.homegate.ch/rent/3002289931","8001 Zurich"
58,3002529846,4050,101,4.5,"Badergasse 5","https://www.homegate.ch/rent/3002529846","8001 Zurich"
59,3002457300,4500,120,4.5,"Promenadengasse 9","https://www.homegate.ch/rent/3002457300","8001 Zurich"
60,3002191031,5300,110,4.0,"Trittligasse 30","https://www.homegate.ch/rent/3002191031","8001 Zurich"
61,3002498657,2150,34,1.5,"Rieterstrasse 87","https://www.homegate.ch/rent/3002498657","8002 Zurich"
62,3002340314,2483,87,4.0,"Waffenplatzstrasse 80","https://www.homegate.ch/rent/3002340314","8002 Zurich"
63,3002584376,2950,62,2.5,"Jenatschstrasse 3","https://www.homegate.ch/rent/3002584376","8002 Zurich"
64,3002470965,4830,105,4.5,"Rieterstrasse 35","https://www.homegate.ch/rent/3002470965","8002 Zurich"
65,3002197456,4955,183,4.5,"Hugelstrasse 6","https://www.homegate.ch/rent/3002197456","8002 Zurich"
66,3002541606,4975,104,3.5,"Richard Wagner-Strasse 16","https://www.homegate.ch/rent/3002541606","8002 Zurich"
67,3002506957,5290,150,4.5,"Todistrasse 27","https://www.homegate.ch/rent/3002506957","8002 Zurich"
68,3002422655,6450,140,5.0,"Parkring 8","https://www.homegate.ch/rent/3002422655","8002 Zurich"
69,3002219447,1060,11,1.0,"Badenerstrasse","https://www.homegate.ch/rent/3002219447","8003 Zurich"
70,3002590029,1190,17,1.0,"Badenerstrasse","https://www.homegate.ch/rent/3002590029","8003 Zurich"
71,3002589956,1200,18,1.0,"Badenerstrasse","https://www.homegate.ch/rent/3002589956","8003 Zurich"
72,3002463196,1540,16,1.0,"Brinerstrasse 10","https://www.homegate.ch/rent/3002463196","8003 Zurich"
73,3002568326,1690,24,1.0,"Zentralstrasse 53","https://www.homegate.ch/rent/3002568326","8003 Zurich"
74,3002579088,1880,15,1.0,"Dubsstrasse 30","https://www.homegate.ch/rent/3002579088","8003 Zurich"
75,3002416609,2050,25,1.5,"Steinstrasse 35","https://www.homegate.ch/rent/3002416609","8003 Zurich"
76,3001453529,2100,20,1.0,"Dubsstrasse 30","https://www.homegate.ch/rent/3001453529","8003 Zurich"
77,3002579093,2300,20,1.5,"Dubsstrasse 30","https://www.homegate.ch/rent/3002579093","8003 Zurich"
78,3002566725,2590,72,2.5,"Letzigraben 101","https://www.homegate.ch/rent/3002566725","8003 Zurich"
79,3002291977,2590,57,1.5,"Albisriederstrasse 17","https://www.homegate.ch/rent/3002291977","8003 Zurich"
80,3002592327,2730,79,3.0,"Albisriederstrasse 20","https://www.homegate.ch/rent/3002592327","8003 Zurich"
81,3002171307,2950,45,2.0,"Zelgstrasse 19","https://www.homegate.ch/rent/3002171307","8003 Zurich"
82,3002292011,2960,64,2.5,"Albisriederstrasse 17","https://www.homegate.ch/rent/3002292011","8003 Zurich"
83,3001382720,2980,45,2.0,"Zelgstrasse 19","https://www.homegate.ch/rent/3001382720","8003 Zurich"
84,3000615304,2990,36,1.5,"Gertrudstrasse 22","https://www.homegate.ch/rent/3000615304","8003 Zurich"
85,3000902014,3030,30,2.5,"Rotachstrasse 17","https://www.homegate.ch/rent/3000902014","8003 Zurich"
86,3002171312,3100,60,2.0,"Zelgstrasse 19","https://www.homegate.ch/rent/3002171312","8003 Zurich"
87,3002334796,3185,54,2.5,"Gotthelfstrasse 41","https://www.homegate.ch/rent/3002334796","8003 Zurich"
88,3001525478,3250,45,3.0,"Zelgstrasse 19","https://www.homegate.ch/rent/3001525478","8003 Zurich"
89,3000900797,3310,40,2.5,"Kalkbreitestrasse 41","https://www.homegate.ch/rent/3000900797","8003 Zurich"
90,3002082348,3350,70,3.5,"Zelgstrasse 19","https://www.homegate.ch/rent/3002082348","8003 Zurich"
91,3000901626,3410,49,2.5,"Aemtlerstrasse 86","https://www.homegate.ch/rent/3000901626","8003 Zurich"
92,3000901704,3610,55,2.5,"Aemtlerstrasse 86","https://www.homegate.ch/rent/3000901704","8003 Zurich"
93,3000902003,3610,45,2.5,"Rotachstrasse 17","https://www.homegate.ch/rent/3000902003","8003 Zurich"
94,3000901540,3710,60,2.5,"Kalkbreitestrasse 41","https://www.homegate.ch/rent/3000901540","8003 Zurich"
95,3000902710,3710,50,2.5,"Rotachstrasse 20","https://www.homegate.ch/rent/3000902710","8003 Zurich"
96,3000942407,3810,41,2.5,"Gertrudstrasse 22","https://www.homegate.ch/rent/3000942407","8003 Zurich"
97,3002304941,4000,95,3.5,"Birmensdorferstrasse 192","https://www.homegate.ch/rent/3002304941","8003 Zurich"
98,3000902771,4080,79,3.5,"Gertrudstrasse 22","https://www.homegate.ch/rent/3000902771","8003 Zurich"
99,3002053657,5080,97,3.5,"Wuhrstrasse 30","https://www.homegate.ch/rent/3002053657","8003 Zurich"
100,3002292042,5810,140,5.5,"Albisriederstrasse 17","https://www.homegate.ch/rent/3002292042","8003 Zurich"
101,3002592205,910,14,1.0,"Morgartenstrasse 12","https://www.homegate.ch/rent/3002592205","8004 Zurich"
102,3002589942,1100,16,1.0,"Knuslistrasse","https://www.homegate.ch/rent/3002589942","8004 Zurich"
103,3001034646,1300,10,1.0,"Badenerstrasse 362","https://www.homegate.ch/rent/3001034646","8004 Zurich"
104,3001200913,1400,12,1.0,"Badenerstrasse 362","https://www.homegate.ch/rent/3001200913","8004 Zurich"
105,3002590756,1615,30,1.5,"Hohlstrasse 100","https://www.homegate.ch/rent/3002590756","8004 Zurich"
106,3002590757,1640,31,1.5,"Hohlstrasse 100","https://www.homegate.ch/rent/3002590757","8004 Zurich"
107,3002579076,1880,20,1.0,"Morgartenstrasse 15","https://www.homegate.ch/rent/3002579076","8004 Zurich"
108,3002581043,1940,38,1.0,"Kanzleistrasse 18","https://www.homegate.ch/rent/3002581043","8004 Zurich"
109,3001108792,2100,12,1.0,"Badenerstrasse 362","https://www.homegate.ch/rent/3001108792","8004 Zurich"
110,3002566726,2150,59,2.0,"Militarstrasse 114","https://www.homegate.ch/rent/3002566726","8004 Zurich"
111,3001034695,2200,20,1.0,"Morgartenstrasse 15","https://www.homegate.ch/rent/3001034695","8004 Zurich"
112,3002584573,2450,46,2.0,"Pflanzschulstrasse 51","https://www.homegate.ch/rent/3002584573","8004 Zurich"
113,3002576208,2700,65,2.5,"Backerstrasse 10","https://www.homegate.ch/rent/3002576208","8004 Zurich"
114,3002101128,2900,55,2.5,"Badenerstrasse 362","https://www.homegate.ch/rent/3002101128","8004 Zurich"
115,3002531550,2900,58,2.5,"Badenerstrasse 250","https://www.homegate.ch/rent/3002531550","8004 Zurich"
116,3002576256,3140,85,3.5,"Backerstrasse 10","https://www.homegate.ch/rent/3002576256","8004 Zurich"
117,3001476845,3783,40,2.5,"Kanzleistrasse 225","https://www.homegate.ch/rent/3001476845","8004 Zurich"
118,3002506893,3860,73,2.5,"Schontalstrasse 20","https://www.homegate.ch/rent/3002506893","8004 Zurich"
119,3002233505,3950,69,2.5,"Ankerstrasse 114","https://www.homegate.ch/rent/3002233505","8004 Zurich"
120,3002536070,3990,108,4.5,"Zwinglistrasse 15","https://www.homegate.ch/rent/3002536070","8004 Zurich"
121,3002538586,4200,75,3.5,"Badenerstrasse 250","https://www.homegate.ch/rent/3002538586","8004 Zurich"
122,3002308353,4500,93,3.5,"Stauffacherquai 56","https://www.homegate.ch/rent/3002308353","8004 Zurich"
123,3002325515,4650,96,3.0,"Stauffacherquai 56","https://www.homegate.ch/rent/3002325515","8004 Zurich"
124,3002564763,5350,87,2.5,"Ankerstrasse","https://www.homegate.ch/rent/3002564763","8004 Zurich"
125,3002586366,1000,15,1.0,"8005 Zurich","https://www.homegate.ch/rent/3002586366","8005 Zurich"
126,3002563697,1840,48,2.5,"Mattengasse 29","https://www.homegate.ch/rent/3002563697","8005 Zurich"
127,3002171294,2450,25,1.0,"Langstrasse 213","https://www.homegate.ch/rent/3002171294","8005 Zurich"
128,3002096344,2740,78,2.5,"Josefstrasse 200","https://www.homegate.ch/rent/3002096344","8005 Zurich"
129,3001627087,2750,35,2.0,"Langstrasse 213","https://www.homegate.ch/rent/3001627087","8005 Zurich"
130,3002590539,2990,67,2.5,"Limmatstrasse 27","https://www.homegate.ch/rent/3002590539","8005 Zurich"
131,3001670626,3300,40,2.5,"Langstrasse 213","https://www.homegate.ch/rent/3001670626","8005 Zurich"
132,3002583123,4265,124,3.5,"Turbinenstrasse 33","https://www.homegate.ch/rent/3002583123","8005 Zurich"
133,3002404864,4750,131,3.5,"Giessereistrasse 14","https://www.homegate.ch/rent/3002404864","8005 Zurich"
134,3002419177,4900,90,2.5,"Turbinenstrasse","https://www.homegate.ch/rent/3002419177","8005 Zurich"
135,3002422797,4950,101,3.5,"Hafnerstrasse 7","https://www.homegate.ch/rent/3002422797","8005 Zurich"
136,3002557264,7400,140,3.5,"8005 Zurich","https://www.homegate.ch/rent/3002557264","8005 Zurich"
137,3002541867,7520,195,3.5,"8005 Zurich","https://www.homegate.ch/rent/3002541867","8005 Zurich"
138,3002558221,1600,54,2.0,"Mohrlistrasse 103","https://www.homegate.ch/rent/3002558221","8006 Zurich"
139,3002344304,1980,19,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002344304","8006 Zurich"
140,3002344301,1980,19,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002344301","8006 Zurich"
141,3002344299,1980,21,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002344299","8006 Zurich"
142,3001673134,1980,21,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001673134","8006 Zurich"
143,3001056383,1980,17,1.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001056383","8006 Zurich"
144,3002352022,2495,47,2.0,"Schanzackerstrassse 18","https://www.homegate.ch/rent/3002352022","8006 Zurich"
145,3002495087,2665,90,3.0,"Winterthurerstrasse 80","https://www.homegate.ch/rent/3002495087","8006 Zurich"
146,3001683589,2750,30,2.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001683589","8006 Zurich"
147,3001034709,2750,30,2.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001034709","8006 Zurich"
148,3002579113,2750,60,2.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3002579113","8006 Zurich"
149,3002565461,2890,66,3.0,"Schaffhauserstrasse 5","https://www.homegate.ch/rent/3002565461","8006 Zurich"
150,3001411018,3000,82,3.0,"Schaffhauserstrasse","https://www.homegate.ch/rent/3001411018","8006 Zurich"
151,3002523624,3010,93,3.5,"Rigistrasse 28","https://www.homegate.ch/rent/3002523624","8006 Zurich"
152,3002583468,3150,83,3.5,"Gotzstrasse 16","https://www.homegate.ch/rent/3002583468","8006 Zurich"
153,3002589911,3200,98,2.5,"Scherrstrasse 6","https://www.homegate.ch/rent/3002589911","8006 Zurich"
154,3002572318,3320,120,5.0,"Rigistrasse 6","https://www.homegate.ch/rent/3002572318","8006 Zurich"
155,3001673132,3600,77,3.0,"Universitatsstrasse 80/82","https://www.homegate.ch/rent/3001673132","8006 Zurich"
156,3002561380,3850,90,2.5,"8006 Zurich","https://www.homegate.ch/rent/3002561380","8006 Zurich"
157,3002529151,4618,126,4.5,"Rigistr. 52","https://www.homegate.ch/rent/3002529151","8006 Zurich"
158,3002543353,1820,44,1.0,"Santisstrasse 12a","https://www.homegate.ch/rent/3002543353","8008 Zurich"
159,3002535834,2250,38,1.5,"Wildbachstrasse 66","https://www.homegate.ch/rent/3002535834","8008 Zurich"
160,3002592406,2425,84,3.5,"Im Walder 12/14/16/18","https://www.homegate.ch/rent/3002592406","8008 Zurich"
161,3002569509,2910,70,2.5,"Klausstrasse 49","https://www.homegate.ch/rent/3002569509","8008 Zurich"
162,3002490492,3050,75,3.0,"Seefeldstrasse 47","https://www.homegate.ch/rent/3002490492","8008 Zurich"
163,3002350126,3110,63,2.5,"Arbenzstrasse 3","https://www.homegate.ch/rent/3002350126","8008 Zurich"
164,3002265239,3395,92,2.5,"Mainaustrasse 49","https://www.homegate.ch/rent/3002265239","8008 Zurich"
165,3002539474,3460,101,3.0,"Dufourstrasse 94","https://www.homegate.ch/rent/3002539474","8008 Zurich"
166,3000295311,3800,85,2.5,"Dahliastrasse 16","https://www.homegate.ch/rent/3000295311","8008 Zurich"
167,3002569750,4475,104,3.5,"Florastrasse 21","https://www.homegate.ch/rent/3002569750","8008 Zurich"
168,3002535615,4975,110,4.0,"Billrothstr. 18","https://www.homegate.ch/rent/3002535615","8008 Zurich"
169,3002535654,4975,110,4.0,"Billrothstr. 18","https://www.homegate.ch/rent/3002535654","8008 Zurich"
170,3002585716,5100,105,3.5,"Zimmergasse 8","https://www.homegate.ch/rent/3002585716","8008 Zurich"
171,3002583754,5240,96,3.5,"Muhlebachstrasse 155","https://www.homegate.ch/rent/3002583754","8008 Zurich"
172,109992819,5290,83,3.5,"Seefeldstrasse","https://www.homegate.ch/rent/109992819","8008 Zurich"
173,3002526196,5320,78,3.5,"Mittelstrasse 55","https://www.homegate.ch/rent/3002526196","8008 Zurich"
174,3002316120,5850,117,3.5,"Altenhofstrasse 45","https://www.homegate.ch/rent/3002316120","8008 Zurich"
175,3002502208,5900,110,3.5,"8008 Zurich","https://www.homegate.ch/rent/3002502208","8008 Zurich"
176,3002340083,6033,115,4.5,"Arbenzstrasse 20","https://www.homegate.ch/rent/3002340083","8008 Zurich"
177,3002233917,6200,164,3.0,"8008 Zurich","https://www.homegate.ch/rent/3002233917","8008 Zurich"
178,3002506644,6800,170,5.5,"Seehofstrasse 4","https://www.homegate.ch/rent/3002506644","8008 Zurich"
179,3002312496,8500,155,4.5,"Altenhofstrasse 45","https://www.homegate.ch/rent/3002312496","8008 Zurich"
180,3002530061,1695,26,1.0,"Veilchenstrasse 14","https://www.homegate.ch/rent/3002530061","8032 Zurich"
181,3001683220,1790,15,1.0,"Asylstrasse 125","https://www.homegate.ch/rent/3001683220","8032 Zurich"
182,3001034637,1800,22,1.0,"Asylstrasse 125","https://www.homegate.ch/rent/3001034637","8032 Zurich"
183,3001034639,1850,20,1.0,"Asylstrasse 125","https://www.homegate.ch/rent/3001034639","8032 Zurich"
184,3002464722,2160,38,1.5,"Asylstrasse 108","https://www.homegate.ch/rent/3002464722","8032 Zurich"
185,3002464728,2475,42,1.5,"Asylstrasse 108","https://www.homegate.ch/rent/3002464728","8032 Zurich"
186,3002589979,2480,54,2.5,"Sempacherstrasse 34","https://www.homegate.ch/rent/3002589979","8032 Zurich"
187,3002564074,2600,40,2.0,"Hegibachstrasse 34B","https://www.homegate.ch/rent/3002564074","8032 Zurich"
188,3002312178,2650,62,2.5,"Hegibachstrasse 68","https://www.homegate.ch/rent/3002312178","8032 Zurich"
189,3002392334,2690,56,2.0,"Zeltweg 33","https://www.homegate.ch/rent/3002392334","8032 Zurich"
190,3002563917,2800,67,2.0,"Rutistrasse 24","https://www.homegate.ch/rent/3002563917","8032 Zurich"
191,3001683216,2880,40,2.5,"Asylstrasse 125","https://www.homegate.ch/rent/3001683216","8032 Zurich"
192,3002583940,2990,65,2.5,"Neptunstrasse 49","https://www.homegate.ch/rent/3002583940","8032 Zurich"
193,3002551997,3000,67,3.0,"Frobelstrasse 20","https://www.homegate.ch/rent/3002551997","8032 Zurich"
194,3002071572,3150,60,2.5,"Asylstrasse 125","https://www.homegate.ch/rent/3002071572","8032 Zurich"
